license_no,facility_type,licensed_name,dba_alpha_name,address,city,zip,county,phone,fax,email,license_expires,licensed_slots,administrator,licensed_owner,owner_address,owner_city_state_zip,owner_type,npi_matches,npi_authorized_official,lat,lng
L9N0H7,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF NORTH BERGEN (L9NOH7),"SENIOR CARE CENTERS OF AMERICA, INC.",6201 GRAND AVENUE,NORTH BERGEN,07047,HUDSON,(201) 869-4443,(201) 869-0814,northbergen@activeday.com,2027-06-30,100,Jenny Novoa,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,40.79496840,-74.02257540
408112,ADULT DAY HEALTH SERVICES FACILITY,ADULTCARE ADULT DAY CARE (NJ408112),"ADULTCARE, INC.",1607 MANHATTAN AVENUE,UNION CITY,07087,HUDSON,(201) 864-5400,(201) 864-1512,carzak@gmail.com,2026-12-31,89,Ms Iris Negron,"Adultcare, Inc.",1607 Manahattan Avenue,"Union City, NJ - 07087",CORPORATION - FOR PROFIT,,,40.76137640,-74.03245080
408212,ADULT DAY HEALTH SERVICES FACILITY,BAYONNE ADULT MEDICAL DAY CARE CENTER (NJ408212),BAYONNE ADULT MEDICAL DAY CARE CORP. OF BAYONNE,801-803 BROADWAY,BAYONNE,07002,HUDSON,(201) 243-0035,(201) 243-0036,bayonneadc@yahoo.com,2027-03-31,180,Ms Marina Moroz,Bayonne Adult Medical Day Care Corp. Of Bayonne,801-803 Broadway,"Bayonne, NJ - 07002",CORPORATION - FOR PROFIT,1891847919,ALEXANDER ARSHIN (Direct Owner President),40.67471830,-74.10957440
09010,ADULT DAY HEALTH SERVICES FACILITY,CARE WITH LOVE ADULT DAY CARE CENTER (NJ09010),"CARE WITH LOVE ADULT DAYCARE CENTER, INC",953 GARFIELD AVENUE,JERSEY CITY,07304,HUDSON,(201) 333-8883,(201) 333-8897,carewlove973@gmail.com,2026-11-30,150,Ms Dawn Fingall,"Care With Love Adult Daycare Center, Inc",194 Terrace Avenue,"Jersey City, NJ - 07307",,,,40.71130420,-74.06998860
25429,ADULT DAY HEALTH SERVICES FACILITY,GARDEN STATE ADULT MEDICAL DAY CARE CENTER LLC (NJ25429),Garden State Adult Medical Day Care Center LLC,"20 MEADOWLANDS PARKWAY, SUITE 100-2",SECAUCUS,07094,HUDSON,(201) 875-2856,(201) 426-2275,0,2026-12-31,140,Nilam Trivedi,Garden State Adult Medical Day Care Center Llc,20 Meadowlands Parkway,"Secaucus, NJ - 07094",,,,0,0
408110,ADULT DAY HEALTH SERVICES FACILITY,HAPPY DAYS 3 ADULT HEALTHCARE (NJ408110),HD HEALTHCARE SERVICES,591 MONTGOMERY STREET,JERSEY CITY,07302,HUDSON,(201) 938-0300,0,bk@happydayshealthcare.com,2027-05-31,48,Mr Benjamin Mayer,Hd Healthcare Services,15 Teaberry Court,"Lakewood, NJ - 08701",PROFIT - LLC,,,40.10958490,-74.23411900
09001,ADULT DAY HEALTH SERVICES FACILITY,"MI CASA ES SU CASA II, INC (NJ09001)","MI CASA ES SU CASA II, INC.",6120 BUCHANAN PLACE (PO BOX 4074),WEST NEW YORK,07093,HUDSON,(201) 537-2211,(201) 537-2209,srodriguez.micasamgmt@gmail.com,2023-07-31,200,John Laureda,"Mi Casa Es Su Casa Ii, Inc.",38 Mohegan Trail,"Saddle River, NJ - 07458",CORPORATION - FOR PROFIT,,,40.78784900,-74.00847650
408331,ADULT DAY HEALTH SERVICES FACILITY,SENIOR SPIRIT OF JERSEY CITY (NJ408331),"FAMILY SENIOR HEALTH, LLC",675 GARFIELD AVENUE,JERSEY CITY,07305,HUDSON,(201) 761-0280,(201) 761-0290,seniorspiritjc1@gmail.com,2026-10-31,160,Ms Luisa Ubiera,"Family Senior Health, Llc",675 Garfield Avenue (2Nd Fl),"Jersey City, NJ - 07305",PROFIT - LLC,,,40.70302810,-74.07650520
408330,ADULT DAY HEALTH SERVICES in a LONG-TERM CARE FACILITY,ST ANN'S HOME FOR THE AGED (NJ408330),ST. ANN'S HOME FOR THE AGED,198 OLD BERGEN ROAD,JERSEY CITY,07305,HUDSON,(201) 433-0950,(201) 433-6554,stannsamdc408330@peacecorenj.org,2027-08-31,50,Mr Robert Reyes,St. Ann'S Home For The Aged,198 Old Bergen Road,"Jersey City, NJ - 07305",CORPORATION - NONPROFIT,,,40.69571570,-74.09343810
408210,ADULT DAY HEALTH SERVICES FACILITY,SUNFLOWER MEDICAL ADULT DAY CARE (NJ408210),METROPOLITAN LIFE CARE CORP,300 BROADWAY,BAYONNE,07002,HUDSON,(201) 243-0666,(201) 243-1836,jamie@sunfloweramdc.com,2026-12-31,96,Ms Jamie Ryan,Metropolitan Life Care Corp,300 Broadway,"Bayonne, NJ - 07002",CORPORATION - FOR PROFIT,1831998905;1003958703,JAMIE RYAN (Administrator);CYNTHIA CHEVAL (Administrator),40.65703130,-74.12376660
25477,ADULT DAY HEALTH SERVICES in an ASSISTED LIVING RESIDENCE,COURTYARD ADULT DAY CENTER (NJ25477),COURTYARD ADULT DAY CENTER LLC,111 WEST MAIN STREET,CLINTON,08809,HUNTERDON,(908) 735-5111,0,Nina.Tereshchenko@courtyardsl.com,2026-11-30,105,Jaime Kaeser,Courtyard Adult Day Center Llc,,", -",,,,0,0
10103AD,ADULT DAY HEALTH SERVICES FACILITY,FLEMINGTON ADULT DAY CARE CENTER (NJ10103),FLEMINGTON ADULT DAY CARE CENTER LLC,3 WALTER E FORAN BLVD,FLEMINGTON,08822,HUNTERDON,(732) 800-0027,(908) 237-3496,bhulku.sameer@gmail.com,2027-06-30,120,Mrunali Shah,Flemington Adult Day Care Center Llc,3 Walter E Foran Blvd,"Flemington, NJ - 08822",PROFIT - LLC,1336524917;1356835276,BHAGVATSINH PARMAR (PARTNER);SAMIR SHAH (CEO),40.52156740,-74.85610440
081170,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF HAMILTON (NJ81170),"SENIOR CARE CENTERS OF AMERICA, INC.",410 WHITEHEAD ROAD,HAMILTON,08619,MERCER,(609) 883-0200,(609) 883-1974,HAMILTON@ACTIVEDAY.COM,2026-11-30,110,Mr Stan Dervech,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,40.24360890,-74.72616260
11002,ADULT DAY HEALTH SERVICES FACILITY,ELITE CARING (NJ11002),"RGS OPERATING, LLC",80 WEST UPPER FERRY ROAD,EWING,08628,MERCER,(609) 883-0020,(609) 883-7770,cbrand@elitecaring.com,2027-02-28,125,Ms Kelly Dickinson,"Rgs Operating, Llc",80 West Upper Ferry Road,"Ewing, NJ - 08628",,,,40.26561720,-74.82064670
12043,ADULT DAY HEALTH SERVICES FACILITY,NEW BEGINNINGS ADULT DAY CARE CENTER (NJ12043),"MANAV, LLC","4 CROSSROAD DRIVE, SUITE #108",HAMILTON,08619,MERCER,(484) 515-6990,(609) 570-8600,administrator@nbadc.com,2026-10-31,120,Shivangi Parekh,"Manav, Llc","4 Crossroads Drive, Suite 108","Hamilton, NJ - 08619",,,,,
478310,ADULT DAY HEALTH SERVICES FACILITY,PRESTIGE OF EWING AMDC LLC (NJ478310),PRESTIGE OF EWING AMDC LLC,1676 NORTH OLDEN AVENUE,EWING,08638,MERCER,(609) 434-0041,(609) 434-0043,isaac@prestigeamdc.org,2027-05-31,200,Jeremy Gonzalez,Prestige Of Ewing Amdc Llc,1676 N. Olden Avenue,"Ewing, NJ - 08638",CORPORATION - FOR PROFIT,,,40.24661010,-74.76407890
11007,ADULT DAY HEALTH SERVICES FACILITY,RISING STAR ADULT DAY CARE CENTER (NJ11007),"RISING STAR ADULT DAY CARE CENTER, LLC","1980 NORTH OLDEN AVENUE, SUITE 10",EWING,08618,MERCER,(609) 403-6979,(609) 323-7677,risingstaradc@live.com,2027-04-30,114,Ms Bernadette Pechilio,"Rising Star Adult Day Care Center, Llc",1980 North Olden Avenue,"Ewing, NJ - 08618",PROFIT - PARTNERSHIP,,,40.25265270,-74.78838090
11012,ADULT DAY HEALTH SERVICES FACILITY,WISHING WELL ADULT DAY HEALTH CARE (NJ11012),"WISHING WELL ADULT DAY HEALTH CARE, LLC","3450 PRINCETON PIKE, SUITE 120",LAWRENCEVILLE,08648,MERCER,(609) 356-0628,(732) 242-9741,mkravchenko@wishingwellcare.us,2027-02-28,200,Mr Michael Kravchenko,"Wishing Well Adult Day Health Care, Llc","3450 Princeton Pike, Suite 120","Lawrenceville, NJ - 08648",PROFIT - LLC,,,40.29209810,-74.70654610
Z0SFLR,ADULT DAY HEALTH SERVICES FACILITY,"2ND HOME PERTH AMBOY, LLC (Z0SFLR)","2ND HOME PERTH AMBOY OPERATIONS, LLC",420 FAYETTE STREET,PERTH AMBOY,08861,MIDDLESEX,(732) 826-8012,(732) 826-1961,wanda@2ndhome.org,2027-01-31,150,Wanda Rodriguez,"2Nd Home Perth Amboy Operations, Llc","25 E Salem Street, Suite 500","Hackensack, NJ - 07601",PROFIT - LLC,,,40.51415280,-74.28003620
13008,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY ADULT SERVICES (NJ13008),"ACTIVE DAY ADULT SOCIAL SERVICES, LLC",426 RARITAN STREET,SAYREVILLE,08872,MIDDLESEX,(732) 845-3332,(732) 845-3339,activedayservices@gmail.com,2027-04-30,110,Khafiza Sanginova,"Active Day Adult Social Services, Llc","20 Jackson Street, 1-A","Freehold, NJ - 07728",,,,40.47841610,-74.29683350
508101,ADULT DAY HEALTH SERVICES FACILITY,ALWAYS AT HOME (NJ508101),"RELIANCE ADULT DAY CARE, INC",8A JOCAMA BLVD,OLD BRIDGE,08857,MIDDLESEX,(732) 591-9155,(732) 591-9611,alwayshomeadc@gmail.com,2026-12-31,120,Mr Amrish Bhimani,"Reliance Adult Day Care, Inc",11 Brook Avenue,"Edison, NJ - 08820",CORPORATION - FOR PROFIT,1184764649,MIRON LIBERMAN (President),40.37799750,-74.30554210
KCWWKE,ADULT DAY HEALTH SERVICES FACILITY,BUCKINGHAM PLACE (KCWWKE),"BUCKINGHAM PLACE, LLC","700 WOODS LANE, SUITE A",MONMOUTH JUNCTION,08852,MIDDLESEX,(732) 329-8954,(732) 329-9225,paul@buckinghamplace.net,2022-01-31,64,Mr Paul Vlecides,"Buckingham Place, Llc","700 Woods Lane, Suite A","Mommouth Junction, NJ - 08852",PROFIT - LLC,,,40.38755520,-74.55698850
13013,ADULT DAY HEALTH SERVICES FACILITY,CARE FOREVER ADULT DAY CARE CENTER (NJ13013),CARE FOREVER ADULT DAY CARE CENTER LLC,7 PROGRESS STREET,EDISON,08820,MIDDLESEX,(732) 646-8483,(732) 993-7074,contact@cfadc.us,2027-02-28,180,Mr Ketan Patel,Care Forever Adult Day Care Center Llc,3 Schindler Lane,"Monroe Township, NJ - 08831",,,,40.59906320,-74.36012190
12021,ADULT DAY HEALTH SERVICES FACILITY,CIRCLE OF LIFE ADULT DAY SERVICES (NJ12021),SOUTH PLAINFIELD DAY CARE LLC,3000 HADLEY ROAD,SOUTH PLAINFIELD,07080,MIDDLESEX,(732) 839-3333,(732) 839-3332,circleoflifeadc@gmail.com,2026-12-31,150,Zalak Patel,South Plainfield Day Care Llc,3000 Hadley Road,"South Plainfield, NJ - 07080",PROFIT - LLC,,,40.55265840,-74.42155160
AD12004,ADULT DAY HEALTH SERVICES FACILITY,DAWN TO DUSK WELLBEING CENTER (NJAD12004),"PARR ENTERPRISES, LLC","12 STULTS ROAD, SUITE 125",DAYTON,08810,MIDDLESEX,(732) 447-9420,0,anandi@dusktodawnwellbeing.com,2022-08-31,140,Ms Joan Marie Granato,"Parr Enterprises, Llc",12 Stults Road Suite 125,"Dayton, NJ - 08810",PROFIT - LLC,,,40.35663710,-74.49240090
12010,ADULT DAY HEALTH SERVICES FACILITY,"EDISON ADULT DAY CARE CENTER, LLC (NJ12010)","EDISON ADULT DAY CARE CENTER, LLC",1655-150 OAK TREE ROAD,EDISON,08820,MIDDLESEX,(732) 494-1001,(732) 947-3001,edisonadultdaycare@gmail.com,2027-03-31,148,Ms Anurita Chitale,"Edison Adult Day Care Center, Llc",1655-150 Oak Tree Road,"Edison, NJ - 08820",PROFIT - LLC,,,40.57109850,-74.34012350
12009,ADULT DAY HEALTH SERVICES FACILITY,GOLDEN ERA MEDICAL ADULT DAY CARE (NJ12009),"GOLDEN ERA, LLC",23 NEVSKY STREET,EDISON,08820,MIDDLESEX,(732) 549-2273,(732) 549-2277,Administrator@adcgoldenera.com,2027-04-30,170,Priya Bhansali,"Golden Era Medical Adult Day Care, Llc",36 Meridian Road,"Edison, NJ - 08820",PROFIT - LLC,,,40.56594490,-74.38632900
12011,ADULT DAY HEALTH SERVICES FACILITY,"GOLDEN PATH ADULT DAY HEALTH CARE, INC (NJ12011)","GOLDEN PATH ADULT DAY HEALTH CARE, INC",50-52 CHARLES STREET,NEW BRUNSWICK,08901,MIDDLESEX,(732) 640-1122,(732) 640-1118,goldenpathnj@gmail.com,2027-05-31,140,Ms Natalia Handoga,"Golden Path Adult Day Health Care, Inc",50-52 Charles Street,"New Brunswick, NJ - 08901",CORPORATION - FOR PROFIT,,,40.47897860,-74.46034790
12057,ADULT DAY HEALTH SERVICES FACILITY,GRACE SENIOR CARE (NJ12057),"SATYANARAYAN HEALTHCARE, LLC",217-225 DURHAM AVENUE,SOUTH PLAINFIELD,07080,MIDDLESEX,(732) 791-4888,0,tejas70@yahoo.com,2026-10-31,60,Tejas Patel,"Satyanarayan Healthcare, Llc",1 Ethel Road Suite 106C,"Edison, NJ - 08817",PROFIT - LLC,,,40.55762830,-74.41514330
12020,ADULT DAY HEALTH SERVICES FACILITY,GRACELAND ADULT MEDICAL DAY CARE (NJ12020),"GRACELAND ADULT MEDICAL DAY CARE, INC",316 MADISON AVENUE,PERTH AMBOY,08861,MIDDLESEX,(732) 826-0680,(732) 826-0684,gracelandamdc@gmail.com,2027-09-30,170,Ms Lovina Onwubuya,"Graceland Adult Medical Day Care, Inc",316 Madison Avenue,"Perth Amboy, NJ - 08861",CORPORATION - FOR PROFIT,,,40.50971000,-74.26960480
12015,ADULT DAY HEALTH SERVICES FACILITY,HARMONY ADULT MEDICAL DAY CARE CENTER (NJ12015),"HARMONY ADULT MEDICAL DAY CARE CENTER, INC",220 CENTENNIAL AVENUE,PISCATAWAY,08854,MIDDLESEX,(732) 667-5527,(732) 667-5528,jenny@harmonyamdcc.com,2027-03-31,120,Ms Yuliya Shuper,"Harmony Adult Medical Day Care Center, Inc",220 Centennial Avenue,"Piscataway, NJ - 08854",CORPORATION - FOR PROFIT,,,40.54419230,-74.49377440
12025,ADULT DAY HEALTH SERVICES FACILITY,ISELIN ADULT DAY CARE CENTER (NJ12025),"ISELIN ADULT DAY CARE CENTER, LLC",477 LINCOLN HIGHWAY 27,ISELIN,08830,MIDDLESEX,(732) 283-1373,(732) 283-1379,nimishp1@gmail.com,2027-05-31,97,Ms Pearl Abraham,"Iselin Adult Day Care Center, Llc",477 Lincoln Highway 27,"Iselin, NJ - 08830",,,,40.56734810,-74.33152510
2CPTS8,ADULT DAY HEALTH SERVICES FACILITY,JUST HOME MEDICAL ADULT DAY (2CPTS8),"JUST HOME, INC.",7 EDGEBORO ROAD,EAST BRUNSWICK,08816,MIDDLESEX,(732) 432-9990,(732) 432-9993,svetlana.senyo@jhcare.com,2027-03-31,200,Ms Svetlana Senyo,"Just Home, Inc.",7 Edgeboro Road,"East Brunswick, NJ - 08816",CORPORATION - FOR PROFIT,,,40.46338630,-74.40149260
12012,ADULT DAY HEALTH SERVICES FACILITY,JUST LIKE HOME (NJ12012),"RELIANCE HEALTHCARE (NJ), INC",106 MAIN STREET,SOUTH AMBOY,08879,MIDDLESEX,(732) 721-9200,(888) 843-6925,justlikehomeadc@gmail.com,2027-09-30,185,Mr Nileshkumar Patel,"Reliance Healthcare (Nj), Inc",106 Main Street,"South Amboy, NJ - 08879",CORPORATION - FOR PROFIT,1093040958,RAJESH JARIWALA (President),40.47795310,-74.29734520
12046,ADULT DAY HEALTH SERVICES FACILITY,MEDICAL ADULT DAY CARE AT PRINCETON HEALTH CAMPUS (NJ12046),MEDICAL ADULT DAY CARE AT PRINCETON HEALTH CAMPUS,"2 HOSPITAL DRIVE, BUILDING B",PLAINSBORO,08536,MIDDLESEX,(908) 812-5079,0,0,2021-12-31,0,Nalin Patel,Medical Adult Day Care At Princeton Health Campus,5202 Buttonwood Court,"Monmouth Junction, NJ - 08852",,,,40.34129660,-74.62137800
508300,ADULT DAY HEALTH SERVICES FACILITY,NIRVANA ADULT DAY CARE (NJ508300),"NIRVANA ADULT DAY CARE, LLC",835 ROUTE 1 SOUTH,ISELIN,08830,MIDDLESEX,(848) 200-7343,(848) 200-7344,nirvanaadultdaycare@gmail.com,2026-10-31,200,Ms Anudeep Kaur,"Nirvana Adult Day Care, Llc",2050 Oak Tree Road,"Edison, NJ - 08820",PROFIT - LLC,,,40.57621030,-74.37364340
83001,ADULT DAY HEALTH SERVICES FACILITY,"PARKER AT MONROE ADULT DAY HEALTH SERVCES CTR, INC (NJ83001)","PARKER HOME AND COMMUNITY BASED SERVICES, INC.","200 OVERLOOK DRIVE, PONDVIEW PLAZA",MONROE TOWNSHIP,08831,MIDDLESEX,(848) 237-2386,(609) 409-1310,pvlecides@parkerlife.org,2027-05-31,100,Ms Rachel Kallish,"Parker @ The Pavilion A D Health Srvs Center, Inc",,", -",,,,40.30435940,-74.45581500
12008,ADULT DAY HEALTH SERVICES FACILITY,PARKER AT THE PAVILION ADULT DAY HEALTH SERVICES C (NJ12008),"PARKER HOME AND COMMUNITY BASED SERVICES, INC.",443 RIVER ROAD,HIGHLAND PARK,08904,MIDDLESEX,(732) 565-2440,(732) 565-2430,rmuniz@parkerlife.org,2027-03-31,60,Samara Elias,"Parker @ The Pavilion Adult Day Hlth Svcs Ctr, Inc",443 River Road,"Highland Park, NJ - 08904",CORPORATION - NONPROFIT,,,40.50873260,-74.44392990
12049,ADULT DAY HEALTH SERVICES FACILITY,PRINCETON ADULT DAY CARE (NJ12049),"PRINCETON ADULT DAY CARE, LLC","2245 ROUTE 130 SOUTH, SUITE 106",DAYTON,08810,MIDDLESEX,(732) 783-7997,(732) 823-1101,tjovindah@princetonadultdaycare.com,2026-09-30,150,Tehmina Jovindah,"Princeton Adult Day Care, Llc",2245 Route 130 South Suite 106,"Dayton, NJ - 08810",,,,40.38271210,-74.50377600
AD12005,ADULT DAY HEALTH SERVICES FACILITY,ROUTE ONE ADULT DAY CARE AND WELLNESS CENTER (NJAD12005),ROUTE ONE ADULT DAY CARE AND WELLNESS CENTER,2600 ROUTE 1,NORTH BRUNSWICK,08902,MIDDLESEX,(908) 812-6396,(609) 395-8760,docshams71@gmail.com,2026-06-30,242,Zarruh Suponkulov,Route One Adult Day Care And Wellness Center,2600 Route 1,"North Brunswick, NJ - 08902",,,,40.43230030,-74.51233690
12022,ADULT DAY HEALTH SERVICES FACILITY,SECOND INNING ADULT DAY CARE CENTER (NJ12022),"SECOND INNING, LLC",1501 LIVINGSTON AVENUE,NORTH BRUNSWICK,08902,MIDDLESEX,(732) 626-5544,(732) 626-5543,secondinningadc@gmail.com,2027-08-31,153,Ajay Patel,"Second Inning, Llc",1501 Livingston Avenue,"North Brunswsick, NJ - 08902",PROFIT - LLC,,,40.45863870,-74.48196140
12031,ADULT DAY HEALTH SERVICES FACILITY,SEWA ADULT DAY CARE (NJ12031),"SEWA ADULT DAY CARE, LLC","1020 ROUTE 18 NORTH, SUITE M",EAST BRUNSWICK,08816,MIDDLESEX,(732) 210-2727,(732) 210-2666,sewamgmt@gmail.com,2027-07-31,140,Divya Patel,"Sewa Adult Day Care, Llc","1020 Route 18 North, Suite M","East Brunswick, NJ - 08816",PROFIT - LLC,,,40.41736990,-74.37011040
25411,ADULT DAY HEALTH SERVICES FACILITY,SHAKTI ADULT DAY CARE (NJ25411),HIRAL D. PATEL/SHAKTI DAY CARE LLC,"902 OAK TREE ROAD, SUITE 100",SOUTH PLAINFIELD,07080,MIDDLESEX,(610) 906-4602,0,0,2026-11-30,80,Hiral Patel,Adult Day Care Group,,", -",,,,0,0
508310,ADULT DAY HEALTH SERVICES FACILITY,SOUTH AMBOY ADULT DAY HEALTH CARE CENTER (NJ508310),FIRST HEALTHCARE LLC,540 BORDENTOWN AVENUE,SOUTH AMBOY,08879,MIDDLESEX,(732) 553-1600,(732) 553-1608,bp@firsthc.com,2027-06-30,120,Ms Maryann Statkus,First Healthcare Llc,4557 Route 9 North,"Howell, NJ - 07731",PROFIT - LLC,,,40.47528240,-74.28656590
13017,ADULT DAY HEALTH SERVICES FACILITY,SOUTH BRUNSWICK ADC (NJ13017),SOUTH BRUNSWICK ADC LLC,2000 CORNWALL ROAD,MONMOUTH JUNCTION,08852,MIDDLESEX,(732) 201-6100,0,sbadcnj@gmail.com,2027-02-28,120,Vandana Nayak,South Brunswick Adc Llc,"2000 Cornwall Road, Suite 115","Monmouth Junction, NJ - 08852",,,,40.41403980,-74.53039900
12013,ADULT DAY HEALTH SERVICES FACILITY,STERLING ADULT DAY CARE CENTER LLC (NJ12013),"STERLING ADULT DAY CARE CENTER, LLC",119-120 NORTH CENTER DRIVE,NORTH BRUNSWICK,08902,MIDDLESEX,(732) 951-2020,(732) 951-2307,dasondis@gmail.com,2026-12-31,200,Ms Sejal Dasondi,"Sterling Adult Day Care Center, Llc",120 North Center Drive,"North Brunswick, NJ - 08902",PROFIT - LLC,,,40.44534110,-74.50134070
12014,ADULT DAY HEALTH SERVICES FACILITY,SUNNY DAYS ADULT DAY CARE CENTER (NJ12014),"SATYANARAYAN HEALTHCARE, LLC","1 ETHEL ROAD, SUITE 106C",EDISON,08817,MIDDLESEX,(732) 791-4888,(908) 769-5104,sunnydayssp@gmail.com,2027-08-31,128,Tejas Patel,"Satyanarayan Healthcare, Llc",1 Ethel Road Suite 106C,"Edison, NJ - 08817",PROFIT - LLC,,,40.53943060,-74.39594960
12034,ADULT DAY HEALTH SERVICES FACILITY,VATSALYA ADULT DAY CARE (NJ12034),VATSALYA ADULT DAY CARE LLC,"1412 STELTON ROAD, UNIT 6-10",PISCATAWAY,08854,MIDDLESEX,(732) 331-8966,0,b.parmar@yahoo.com,2026-10-31,150,Bhavin Mehta,Vatsalya Adult Day Care Llc,"1412 Stelton Road, Unit 6-10","Piscataway, NJ - 08854",PROFIT - LLC,,,40.53819250,-74.42242620
12033,ADULT DAY HEALTH SERVICES FACILITY,"VCARE ADULT CENTER, LLC (NJ12033)",SHRAVAN ADULT DAY LLC,121 ETHEL ROAD WEST,PISCATAWAY,08854,MIDDLESEX,(732) 640-0455,(732) 640-0454,Shravanadultday@gmail.com,2027-05-31,190,Ms Niyati Patel,Shravan Adult Day Llc,,", -",,,,40.52958440,-74.42865550
556215,ADULT DAY HEALTH SERVICES FACILITY,ALL IN A DAY MEDICAL DAY CARE CENTER (NJ556215),"ALL IN A DAY ADULT MEDICAL DAY CARE, LLC",104 PENSION ROAD,ENGLISHTOWN,07726,MONMOUTH,(732) 792-2273,(732) 792-2322,admin@alldayadultcare.com,2027-06-30,60,Ms Kelly Raike,"All In A Day Adult Medical Day Care, Llc",104 Pension Road,"Englishtown, NJ - 07726",PROFIT - LLC,,,40.31620220,-74.34824530
83010,ADULT DAY HEALTH SERVICES FACILITY,ALLAIRE CARE (NJ83010),"R.H.C. ADC, INC",1979 ROUTE 34 SOUTH,WALL,07719,MONMOUTH,(732) 974-7666,(732) 974-2261,allairecare@yahoo.com,2027-09-30,62,Balwinder Singh,"R.H.C. Adc, Inc",11 Brook Avenue,"Edison, NJ - 08820",CORPORATION - FOR PROFIT,,,40.15125700,-74.09724660
13016,ADULT DAY HEALTH SERVICES FACILITY,CARING TREE ADULT MEDICAL DAYCARE (NJ13016),CARING TREE ADULT MEDICAL DAYCARE LLC,51 JAMES WAY,EATONTOWN,07724,MONMOUTH,(732) 542-0363,(732) 542-0372,0,2019-11-30,80,Mr Graham Kennedy,Caring Tree Adult Medical Daycare Llc,51 James Way,"Eatontown, NJ - 07724",PROFIT - LLC,1467827634,GRAHAM KENNEDY (Administrator/ Owner),40.27435330,-74.05029980
558113,ADULT DAY HEALTH SERVICES FACILITY,GOLDEN AGE CARE (NJ558113),"GOLDEN AGE CARE, LLC",209 COMMERCIAL COURT,MORGANVILLE,07751,MONMOUTH,(732) 583-9999,(732) 583-3883,goldenagecarellc209@gmail.com,2027-06-30,99,Ms Cynthia Cheval,"Golden Age Care, Llc",209 Commercial Court,"Marganville, NJ - 07751",PROFIT - LLC,1326187071,GALINA GOLDEN (Managing Member),40.35507780,-74.28161520
13001,ADULT DAY HEALTH SERVICES FACILITY,GOLDEN YEARS CARE (NJ13001),"GOLDEN YEARS CARE, LLC",108 WOODWARD ROAD,MANALAPAN,07726,MONMOUTH,(732) 851-6640,(732) 446-6898,goldenyearscarellc@gmail.com,2027-06-30,300,Ms Larisa Bubel,"Golden Years Care, Llc",108 Woodward Road,"Manalapan, NJ - 07726",PROFIT - LLC,,,40.24994700,-74.36698400
25301,ADULT DAY HEALTH SERVICES FACILITY,HOLMDEL ADULT CARE CENTER LLC (NJ25301),HOLMDEL ADULT CARE CENTER LLC,2145 ROUTE 35,HOLMDEL,07733,MONMOUTH,(888) 381-8777,0,thomas-victor@hotmail.com,2027-06-30,40,Peter Mehanny,Holmdel Adult Care Center Llc,,", -",,,,0,0
558100,ADULT DAY HEALTH SERVICES FACILITY,JERSEY SHORE ADULT DAY HEALTH CARE CENTER (NJ558100),FIRST HEALTHCARE ASBURY PARK LLC,600 MAIN STREET,ASBURY PARK,07712,MONMOUTH,(732) 869-9090,(732) 988-2803,bp@firsthc.com,2027-02-28,112,Ms Anedris De Larosa,First Healthcare Asbury Park Llc,"4557 Route 9 North, Suite 203","Howell, NJ - 07731",PROFIT - LLC,,,40.21906610,-74.01186370
13022,ADULT DAY HEALTH SERVICES FACILITY,MATAWAN ADULT DAY CARE (NJ13022),MATAWAN ADULT DAY CARE LLC,3996 COUNTY ROAD 516,MATAWAN,07747,MONMOUTH,(732) 391-8100,(732) 810-0291,matawanadc@gmail.com,2027-06-30,160,Ratika Rajpal,Matawan Adult Day Care Llc,3996 County Road 516,"Matawan, NJ - 07747",,,,40.40500730,-74.28784940
13009,ADULT DAY HEALTH SERVICES FACILITY,MONROE ADULT DAY CARE (NJ13009),24 DUGANS GROVE LLC,24 DUGANS GROVE ROAD,MILLSTONE TWP,08535,MONMOUTH,(732) 851-6720,(732) 851-7925,rahulkshah66@yahoo.com,2027-03-31,170,Sandeep Sohal,24 Dugans Grove Llc,7 Makayla Court,"Monroe, NJ - 08831",PROFIT - LLC,1568853646,ALOK PATEL (ADMINISTRATOR),40.26147840,-74.40882590
13018AD,ADULT DAY HEALTH SERVICES FACILITY,"NEPTUNE ADULT DAY HEALTH CENTER, INC (NJ13018)","NEPTUNE ADULT DAY HEALTH CENTER, INC.",3405 ROUTE 33,NEPTUNE,07753,MONMOUTH,(732) 918-0663,(732) 922-0759,neptuneadhc@gmail.com,2026-12-31,180,Ms Ulyana Kats,"Neptune Adult Day Health Center, Inc.",3405 Route 33,"Neptune, NJ - 07753",,1376071241,ULYANA YAGODINTSEVA (Administrator),40.20984470,-74.07696410
